correct,stem,rule,child,age
1,GET,AA -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,GO,went suppletion,brown_Adam,27.0
1,BREAK,OW -@,brown_Adam,27.0
1,BREAK,OW -@,brown_Adam,27.0
1,BREAK,OW -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,BREAK,OW -@,brown_Adam,27.0
1,GO,went suppletion,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,GO,went suppletion,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,BREAK,OW -@,brown_Adam,27.0
1,BREAK,OW -@,brown_Adam,27.0
1,HURT,no change -@,brown_Adam,27.0
1,FALL,EH -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,LOSE,AO -t,brown_Adam,27.0
1,LOSE,AO -t,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,27.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,HIT,no change -@,brown_Adam,28.0
1,BREAK,OW -@,brown_Adam,28.0
1,CATCH,aught -t,brown_Adam,28.0
1,CATCH,aught -t,brown_Adam,28.0
1,HURT,no change -@,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,FALL,EH -@,brown_Adam,28.0
1,FALL,EH -@,brown_Adam,28.0
1,FALL,EH -@,brown_Adam,28.0
1,FALL,EH -@,brown_Adam,28.0
1,FALL,EH -@,brown_Adam,28.0
1,FALL,EH -@,brown_Adam,28.0
1,CATCH,aught -t,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,GET,AA -@,brown_Adam,28.0
1,BREAK,OW -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,HURT,no change -@,brown_Adam,29.0
1,HURT,no change -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,BREAK,OW -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,BREAK,OW -@,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,GET,AA -@,brown_Adam,29.0
1,MAKE,made/had -d,brown_Adam,29.0
1,MAKE,made/had -d,brown_Adam,29.0
1,MAKE,made/had -d,brown_Adam,29.0
1,HIT,no change -@,brown_Adam,29.0
1,HIT,no change -@,brown_Adam,29.0
1,MAKE,made/had -d,brown_Adam,29.0
1,FALL,EH -@,brown_Adam,29.0
1,HIT,no change -@,brown_Adam,29.0
1,MAKE,made/had -d,brown_Adam,29.0
1,GO,went suppletion,brown_Adam,30.0
1,GO,went suppletion,brown_Adam,30.0
1,BRING,aught -t,brown_Adam,30.0
1,BRING,aught -t,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,COME,EY -@,brown_Adam,30.0
1,COME,EY -@,brown_Adam,30.0
1,COME,EY -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,LOSE,AO -t,brown_Adam,30.0
1,LOSE,AO -t,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,LOSE,AO -t,brown_Adam,30.0
1,LOSE,AO -t,brown_Adam,30.0
1,LOSE,AO -t,brown_Adam,30.0
1,LOSE,AO -t,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,HIT,no change -@,brown_Adam,30.0
1,MAKE,made/had -d,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,MAKE,made/had -d,brown_Adam,30.0
1,MAKE,made/had -d,brown_Adam,30.0
1,MAKE,made/had -d,brown_Adam,30.0
1,BREAK,OW -@,brown_Adam,30.0
1,FIND,AW -@,brown_Adam,30.0
1,FIND,AW -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,GET,AA -@,brown_Adam,30.0
1,FALL,EH -@,brown_Adam,30.0
1,GIVE,EY -@,brown_Adam,30.0
1,FIND,AW -@,brown_Adam,30.0
1,BREAK,OW -@,brown_Adam,30.0
1,LOSE,AO -t,brown_Adam,31.0
1,BRING,aught -t,brown_Adam,31.0
1,GO,went suppletion,brown_Adam,31.0
1,MAKE,made/had -d,brown_Adam,31.0
1,FIND,AW -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,LOSE,AO -t,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,SAY,EH -d,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,FIND,AW -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,FIND,AW -@,brown_Adam,31.0
1,FIND,AW -@,brown_Adam,31.0
1,FIND,AW -@,brown_Adam,31.0
1,GO,went suppletion,brown_Adam,31.0
1,GO,went suppletion,brown_Adam,31.0
1,WRITE,OW -@,brown_Adam,31.0
1,WRITE,OW -@,brown_Adam,31.0
1,WRITE,OW -@,brown_Adam,31.0
1,WRITE,OW -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,BREAK,OW -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,31.0
1,LOSE,AO -t,brown_Adam,31.0
1,LOSE,AO -t,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,TAKE,UW -@,brown_Adam,31.0
1,TAKE,UW -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,TAKE,UW -@,brown_Adam,31.0
1,GET,AA -@,brown_Adam,31.0
1,HIT,no change -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,31.0
1,HIT,no change -@,brown_Adam,31.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,SAY,EH -d,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,BREAK,OW -@,brown_Adam,32.0
1,SAY,EH -d,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,CATCH,aught -t,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GO,went suppletion,brown_Adam,32.0
1,GO,went suppletion,brown_Adam,32.0
1,GO,went suppletion,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,FIND,AW -@,brown_Adam,32.0
1,FIND,AW -@,brown_Adam,32.0
1,SAY,EH -d,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,EAT,EY -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,MAKE,made/had -d,brown_Adam,32.0
1,MAKE,made/had -d,brown_Adam,32.0
1,GET,AA -@,brown_Adam,32.0
1,HIT,no change -@,brown_Adam,32.0
1,HIT,no change -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,COME,EY -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,SAY,EH -d,brown_Adam,32.0
1,SAY,EH -d,brown_Adam,32.0
1,COME,EY -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,MAKE,made/had -d,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,FALL,EH -@,brown_Adam,32.0
1,HAVE,made/had -d,brown_Adam,32.0
1,BREAK,OW -@,brown_Adam,33.0
1,COME,EY -@,brown_Adam,33.0
1,GET,AA -@,brown_Adam,33.0
1,SAY,EH -d,brown_Adam,33.0
1,EAT,EY -@,brown_Adam,33.0
1,BREAK,OW -@,brown_Adam,33.0
1,MAKE,made/had -d,brown_Adam,33.0
1,MAKE,made/had -d,brown_Adam,33.0
1,GIVE,EY -@,brown_Adam,33.0
1,FIND,AW -@,brown_Adam,33.0
1,HIT,no change -@,brown_Adam,33.0
1,COME,EY -@,brown_Adam,33.0
1,FALL,EH -@,brown_Adam,33.0
1,COME,EY -@,brown_Adam,33.0
1,FALL,EH -@,brown_Adam,33.0
1,BREAK,OW -@,brown_Adam,33.0
1,LOSE,AO -t,brown_Adam,33.0
1,LOSE,AO -t,brown_Adam,33.0
1,LOSE,AO -t,brown_Adam,33.0
1,HIT,no change -@,brown_Adam,33.0
1,HIT,no change -@,brown_Adam,33.0
1,FALL,EH -@,brown_Adam,33.0
1,FALL,EH -@,brown_Adam,33.0
1,FALL,EH -@,brown_Adam,33.0
1,FALL,EH -@,brown_Adam,33.0
1,BRING,aught -t,brown_Adam,34.0
1,GET,AA -@,brown_Adam,34.0
1,BREAK,OW -@,brown_Adam,34.0
1,HAVE,made/had -d,brown_Adam,34.0
1,FIND,AW -@,brown_Adam,34.0
1,LOSE,AO -t,brown_Adam,34.0
1,GET,AA -@,brown_Adam,34.0
1,BREAK,OW -@,brown_Adam,34.0
1,BREAK,OW -@,brown_Adam,34.0
1,SAY,EH -d,brown_Adam,34.0
1,THINK,aught -t,brown_Adam,34.0
1,FALL,EH -@,brown_Adam,34.0
1,LOSE,AO -t,brown_Adam,34.0
1,FALL,EH -@,brown_Adam,34.0
1,HIT,no change -@,brown_Adam,34.0
1,HIT,no change -@,brown_Adam,34.0
1,MAKE,made/had -d,brown_Adam,34.0
1,BREAK,OW -@,brown_Adam,34.0
1,GO,went suppletion,brown_Adam,34.0
1,FALL,EH -@,brown_Adam,34.0
1,LOSE,AO -t,brown_Adam,34.0
1,HIT,no change -@,brown_Adam,34.0
1,HIT,no change -@,brown_Adam,34.0
